jurisdiction,yr_id,long_name,units,unoccupiable,occupied,vacancy
National City,2050,Single-family Detached,7493,142,7295,198
National City,2050,Single-family Attached,2031,27,1902,129
Oceanside,2016,Multifamily,19634,1436,17757,1877
Oceanside,2016,Mobile Home,3497,226,3228,269
Oceanside,2016,Single-family Detached,34836,1446,32696,2140
Oceanside,2016,Single-family Attached,7884,307,7439,445
Oceanside,2018,Multifamily,20520,1436,18442,2078
Oceanside,2018,Mobile Home,3497,226,3238,259
Oceanside,2018,Single-family Detached,34935,1445,32803,2132
Oceanside,2018,Single-family Attached,7891,307,7457,434
Oceanside,2020,Multifamily,21321,1436,19111,2210
Oceanside,2020,Mobile Home,3497,226,3241,256
Oceanside,2020,Single-family Detached,34971,1445,32900,2071
Oceanside,2020,Single-family Attached,7926,307,7472,454
Oceanside,2025,Multifamily,22107,1436,19902,2205
Oceanside,2025,Mobile Home,3497,226,3245,252
Oceanside,2025,Single-family Detached,35412,1445,33317,2095
Oceanside,2025,Single-family Attached,8209,307,7558,651
Oceanside,2030,Multifamily,22754,1436,20501,2253
Oceanside,2030,Mobile Home,3497,226,3252,245
Oceanside,2030,Single-family Detached,35640,1445,33665,1975
Oceanside,2030,Single-family Attached,8720,307,7811,909
Oceanside,2035,Multifamily,23494,1436,21201,2293
Oceanside,2035,Mobile Home,3497,226,3255,242
Oceanside,2035,Single-family Detached,35825,1445,33917,1908
Oceanside,2035,Single-family Attached,9233,307,8152,1081
Oceanside,2040,Multifamily,23843,1436,21392,2451
Oceanside,2040,Mobile Home,3497,226,3255,242
Oceanside,2040,Single-family Detached,35879,1445,33945,1934
Oceanside,2040,Single-family Attached,9233,307,8174,1059
Oceanside,2045,Multifamily,24038,1436,21597,2441
Oceanside,2045,Mobile Home,3497,226,3255,242
Oceanside,2045,Single-family Detached,35924,1445,33967,1957
Oceanside,2045,Single-family Attached,9242,307,8188,1054
Oceanside,2050,Multifamily,24232,1436,21785,2447
Oceanside,2050,Mobile Home,3497,226,3255,242
Oceanside,2050,Single-family Detached,35977,1445,34007,1970
Oceanside,2050,Single-family Attached,9247,307,8205,1042
Poway,2016,Multifamily,2700,25,2671,29
Poway,2016,Mobile Home,702,12,690,12
Poway,2016,Single-family Detached,12110,78,12019,91
Poway,2016,Single-family Attached,1094,11,1078,16
Poway,2018,Multifamily,2700,25,2671,29
Poway,2018,Mobile Home,702,12,690,12
Poway,2018,Single-family Detached,12199,78,12016,183
Poway,2018,Single-family Attached,1100,11,1078,22
Poway,2020,Multifamily,2760,25,2696,64
Poway,2020,Mobile Home,702,12,690,12
Poway,2020,Single-family Detached,12241,78,12076,165
Poway,2020,Single-family Attached,1100,11,1085,15
Poway,2025,Multifamily,3019,25,2919,100
Poway,2025,Mobile Home,702,12,690,12
Poway,2025,Single-family Detached,12422,78,12235,187
Poway,2025,Single-family Attached,1100,11,1088,12
Poway,2030,Multifamily,3047,25,2949,98
Poway,2030,Mobile Home,702,12,690,12
Poway,2030,Single-family Detached,12435,78,12242,193
Poway,2030,Single-family Attached,1100,11,1088,12
Poway,2035,Multifamily,3094,25,2983,111
Poway,2035,Mobile Home,702,12,690,12
Poway,2035,Single-family Detached,12435,78,12252,183
Poway,2035,Single-family Attached,1100,11,1088,12
Poway,2040,Multifamily,3145,25,3039,106
Poway,2040,Mobile Home,702,12,690,12
Poway,2040,Single-family Detached,12435,78,12270,165
Poway,2040,Single-family Attached,1199,11,1104,95
Poway,2045,Multifamily,3182,25,3079,103
Poway,2045,Mobile Home,702,12,690,12
Poway,2045,Single-family Detached,12435,78,12287,148
Poway,2045,Single-family Attached,1235,11,1120,115
Poway,2050,Multifamily,3210,25,3119,91
Poway,2050,Mobile Home,702,12,690,12
Poway,2050,Single-family Detached,12435,78,12302,133
Poway,2050,Single-family Attached,1293,11,1151,142
San Diego,2016,Multifamily,242190,10260,227407,14783
San Diego,2016,Mobile Home,5191,178,4957,234
San Diego,2016,Single-family Detached,237964,5634,229041,8923
San Diego,2016,Single-family Attached,46078,1262,44127,1951
San Diego,2018,Multifamily,249399,10216,233885,15514
San Diego,2018,Mobile Home,4962,123,4785,177
San Diego,2018,Single-family Detached,239330,5630,230445,8885
San Diego,2018,Single-family Attached,46205,1259,44246,1959
San Diego,2020,Multifamily,256847,10216,240809,16038
San Diego,2020,Mobile Home,4962,123,4790,172
San Diego,2020,Single-family Detached,241104,5630,232052,9052
San Diego,2020,Single-family Attached,46648,1259,44430,2218
San Diego,2025,Multifamily,286288,10216,266729,19559
San Diego,2025,Mobile Home,4962,123,4807,155
San Diego,2025,Single-family Detached,244198,5630,234972,9226
San Diego,2025,Single-family Attached,48317,1259,45199,3118
San Diego,2030,Multifamily,320862,10216,297054,23808
San Diego,2030,Mobile Home,4962,123,4822,140
San Diego,2030,Single-family Detached,249149,5630,239357,9792
San Diego,2030,Single-family Attached,49831,1259,46254,3577
San Diego,2035,Multifamily,354319,10216,327086,27233
San Diego,2035,Mobile Home,4962,123,4825,137
San Diego,2035,Single-family Detached,251949,5630,241951,9998
San Diego,2035,Single-family Attached,50596,1259,46772,3824
San Diego,2040,Multifamily,367459,10216,334161,33298
San Diego,2040,Mobile Home,4962,123,4825,137
San Diego,2040,Single-family Detached,252644,5630,242308,10336
San Diego,2040,Single-family Attached,50727,1259,46840,3887
San Diego,2045,Multifamily,373113,10216,339531,33582
San Diego,2045,Mobile Home,4962,123,4825,137
San Diego,2045,Single-family Detached,252854,5630,242574,10280
San Diego,2045,Single-family Attached,50804,1259,46878,3926
San Diego,2050,Multifamily,377804,10216,343033,34771
San Diego,2050,Mobile Home,4962,123,4825,137
San Diego,2050,Single-family Detached,253256,5630,242717,10539
San Diego,2050,Single-family Attached,50821,1259,46900,3921
San Marcos,2016,Multifamily,10653,130,10158,495
San Marcos,2016,Mobile Home,3640,78,3562,78
San Marcos,2016,Single-family Detached,14114,164,13807,307
San Marcos,2016,Single-family Attached,2132,11,2091,41
San Marcos,2018,Multifamily,11725,130,10798,927
San Marcos,2018,Mobile Home,3640,78,3562,78
San Marcos,2018,Single-family Detached,14198,164,13863,335
San Marcos,2018,Single-family Attached,2164,11,2112,52
San Marcos,2020,Multifamily,12390,130,11353,1037
San Marcos,2020,Mobile Home,3640,78,3562,78
San Marcos,2020,Single-family Detached,14228,164,13925,303
San Marcos,2020,Single-family Attached,2164,11,2124,40
San Marcos,2025,Multifamily,13943,130,12781,1162
San Marcos,2025,Mobile Home,3640,78,3562,78
San Marcos,2025,Single-family Detached,14503,164,14064,439
San Marcos,2025,Single-family Attached,2164,11,2136,28
San Marcos,2030,Multifamily,14825,130,13554,1271
San Marcos,2030,Mobile Home,3640,78,3562,78
San Marcos,2030,Single-family Detached,14623,164,14152,471
San Marcos,2030,Single-family Attached,2164,11,2136,28
San Marcos,2035,Multifamily,15490,130,14238,1252
San Marcos,2035,Mobile Home,3640,78,3562,78
San Marcos,2035,Single-family Detached,14819,164,14305,514
San Marcos,2035,Single-family Attached,2164,11,2137,27
San Marcos,2040,Multifamily,20797,130,17443,3354
San Marcos,2040,Mobile Home,3640,78,3562,78
San Marcos,2040,Single-family Detached,14828,164,14309,519
San Marcos,2040,Single-family Attached,2785,11,2158,627
