tract,yr_id,name,households
100.19,2020,"$60,000 to $74,999",184
100.19,2020,"$75,000 to $99,999",182
100.19,2020,"$100,000 to $124,999",299
100.19,2020,"$125,000 to $149,999",145
100.19,2020,"$150,000 to $199,999",158
100.19,2020,"$200,000 or more",23
100.19,2021,"Less than $15,000",0
100.19,2021,"$15,000 to $29,999",0
100.19,2021,"$30,000 to $44,999",21
100.19,2021,"$45,000 to $59,999",54
100.19,2021,"$60,000 to $74,999",160
100.19,2021,"$75,000 to $99,999",346
100.19,2021,"$100,000 to $124,999",120
100.19,2021,"$125,000 to $149,999",156
100.19,2021,"$150,000 to $199,999",106
100.19,2021,"$200,000 or more",98
100.19,2022,"Less than $15,000",0
100.19,2022,"$15,000 to $29,999",0
100.19,2022,"$30,000 to $44,999",25
100.19,2022,"$45,000 to $59,999",64
100.19,2022,"$60,000 to $74,999",159
100.19,2022,"$75,000 to $99,999",341
100.19,2022,"$100,000 to $124,999",114
100.19,2022,"$125,000 to $149,999",150
100.19,2022,"$150,000 to $199,999",108
100.19,2022,"$200,000 or more",102
101.03,2020,"Less than $15,000",192
101.03,2020,"$15,000 to $29,999",239
101.03,2020,"$30,000 to $44,999",518
101.03,2020,"$45,000 to $59,999",209
101.03,2020,"$60,000 to $74,999",194
101.03,2020,"$75,000 to $99,999",165
101.03,2020,"$100,000 to $124,999",155
101.03,2020,"$125,000 to $149,999",206
101.03,2020,"$150,000 to $199,999",30
101.03,2020,"$200,000 or more",78
101.03,2021,"Less than $15,000",263
101.03,2021,"$15,000 to $29,999",235
101.03,2021,"$30,000 to $44,999",218
101.03,2021,"$45,000 to $59,999",389
101.03,2021,"$60,000 to $74,999",309
101.03,2021,"$75,000 to $99,999",186
101.03,2021,"$100,000 to $124,999",48
101.03,2021,"$125,000 to $149,999",224
101.03,2021,"$150,000 to $199,999",18
101.03,2021,"$200,000 or more",71
101.03,2022,"Less than $15,000",198
101.03,2022,"$15,000 to $29,999",242
101.03,2022,"$30,000 to $44,999",239
101.03,2022,"$45,000 to $59,999",447
101.03,2022,"$60,000 to $74,999",305
101.03,2022,"$75,000 to $99,999",182
101.03,2022,"$100,000 to $124,999",46
101.03,2022,"$125,000 to $149,999",217
101.03,2022,"$150,000 to $199,999",18
101.03,2022,"$200,000 or more",72
101.04,2020,"Less than $15,000",92
101.04,2020,"$15,000 to $29,999",64
101.04,2020,"$30,000 to $44,999",87
101.04,2020,"$45,000 to $59,999",52
101.04,2020,"$60,000 to $74,999",164
101.04,2020,"$75,000 to $99,999",160
101.04,2020,"$100,000 to $124,999",161
101.04,2020,"$125,000 to $149,999",30
101.04,2020,"$150,000 to $199,999",159
101.04,2020,"$200,000 or more",59
101.04,2021,"Less than $15,000",100
101.04,2021,"$15,000 to $29,999",62
101.04,2021,"$30,000 to $44,999",40
101.04,2021,"$45,000 to $59,999",77
101.04,2021,"$60,000 to $74,999",157
101.04,2021,"$75,000 to $99,999",172
101.04,2021,"$100,000 to $124,999",106
101.04,2021,"$125,000 to $149,999",92
101.04,2021,"$150,000 to $199,999",152
101.04,2021,"$200,000 or more",56
101.04,2022,"Less than $15,000",75
101.04,2022,"$15,000 to $29,999",69
101.04,2022,"$30,000 to $44,999",43
101.04,2022,"$45,000 to $59,999",97
101.04,2022,"$60,000 to $74,999",154
101.04,2022,"$75,000 to $99,999",172
101.04,2022,"$100,000 to $124,999",107
101.04,2022,"$125,000 to $149,999",87
101.04,2022,"$150,000 to $199,999",157
101.04,2022,"$200,000 or more",56
101.06,2020,"Less than $15,000",214
101.06,2020,"$15,000 to $29,999",255
101.06,2020,"$30,000 to $44,999",171
101.06,2020,"$45,000 to $59,999",208
101.06,2020,"$60,000 to $74,999",100
101.06,2020,"$75,000 to $99,999",334
101.06,2020,"$100,000 to $124,999",70
101.06,2020,"$125,000 to $149,999",101
101.06,2020,"$150,000 to $199,999",73
101.06,2020,"$200,000 or more",0
101.06,2021,"Less than $15,000",155
101.06,2021,"$15,000 to $29,999",238
101.06,2021,"$30,000 to $44,999",298
101.06,2021,"$45,000 to $59,999",140
101.06,2021,"$60,000 to $74,999",123
101.06,2021,"$75,000 to $99,999",235
101.06,2021,"$100,000 to $124,999",131
101.06,2021,"$125,000 to $149,999",102
101.06,2021,"$150,000 to $199,999",83
101.06,2021,"$200,000 or more",0
101.06,2022,"Less than $15,000",116
101.06,2022,"$15,000 to $29,999",246
101.06,2022,"$30,000 to $44,999",321
101.06,2022,"$45,000 to $59,999",165
101.06,2022,"$60,000 to $74,999",121
101.06,2022,"$75,000 to $99,999",230
101.06,2022,"$100,000 to $124,999",123
101.06,2022,"$125,000 to $149,999",100
101.06,2022,"$150,000 to $199,999",84
101.06,2022,"$200,000 or more",0
101.07,2020,"Less than $15,000",100
101.07,2020,"$15,000 to $29,999",64
101.07,2020,"$30,000 to $44,999",237
101.07,2020,"$45,000 to $59,999",206
101.07,2020,"$60,000 to $74,999",150
101.07,2020,"$75,000 to $99,999",252
101.07,2020,"$100,000 to $124,999",234
101.07,2020,"$125,000 to $149,999",128
101.07,2020,"$150,000 to $199,999",162
101.07,2020,"$200,000 or more",127
101.07,2021,"Less than $15,000",128
101.07,2021,"$15,000 to $29,999",72
101.07,2021,"$30,000 to $44,999",172
101.07,2021,"$45,000 to $59,999",316
101.07,2021,"$60,000 to $74,999",163
101.07,2021,"$75,000 to $99,999",255
101.07,2021,"$100,000 to $124,999",234
101.07,2021,"$125,000 to $149,999",66
101.07,2021,"$150,000 to $199,999",172
101.07,2021,"$200,000 or more",61
101.07,2022,"Less than $15,000",93
101.07,2022,"$15,000 to $29,999",71
101.07,2022,"$30,000 to $44,999",191
101.07,2022,"$45,000 to $59,999",362
101.07,2022,"$60,000 to $74,999",162
101.07,2022,"$75,000 to $99,999",253
101.07,2022,"$100,000 to $124,999",218
101.07,2022,"$125,000 to $149,999",61
101.07,2022,"$150,000 to $199,999",173
101.07,2022,"$200,000 or more",56
101.09,2020,"Less than $15,000",0
101.09,2020,"$15,000 to $29,999",105
101.09,2020,"$30,000 to $44,999",65
101.09,2020,"$45,000 to $59,999",128
101.09,2020,"$60,000 to $74,999",127
101.09,2020,"$75,000 to $99,999",180
101.09,2020,"$100,000 to $124,999",107
101.09,2020,"$125,000 to $149,999",166
101.09,2020,"$150,000 to $199,999",164
101.09,2020,"$200,000 or more",155
101.09,2021,"Less than $15,000",0
101.09,2021,"$15,000 to $29,999",111
101.09,2021,"$30,000 to $44,999",84
101.09,2021,"$45,000 to $59,999",132
101.09,2021,"$60,000 to $74,999",109
101.09,2021,"$75,000 to $99,999",198
101.09,2021,"$100,000 to $124,999",145
101.09,2021,"$125,000 to $149,999",57
101.09,2021,"$150,000 to $199,999",221
101.09,2021,"$200,000 or more",122
101.09,2022,"Less than $15,000",0
101.09,2022,"$15,000 to $29,999",112
101.09,2022,"$30,000 to $44,999",89
101.09,2022,"$45,000 to $59,999",148
101.09,2022,"$60,000 to $74,999",102
101.09,2022,"$75,000 to $99,999",193
101.09,2022,"$100,000 to $124,999",135
101.09,2022,"$125,000 to $149,999",56
101.09,2022,"$150,000 to $199,999",225
101.09,2022,"$200,000 or more",123
101.1,2020,"Less than $15,000",264
101.1,2020,"$15,000 to $29,999",283
101.1,2020,"$30,000 to $44,999",325
101.1,2020,"$45,000 to $59,999",141
101.1,2020,"$60,000 to $74,999",188
101.1,2020,"$75,000 to $99,999",308
101.1,2020,"$100,000 to $124,999",288
101.1,2020,"$125,000 to $149,999",144
101.1,2020,"$150,000 to $199,999",247
101.1,2020,"$200,000 or more",11
101.1,2021,"Less than $15,000",262
101.1,2021,"$15,000 to $29,999",293
101.1,2021,"$30,000 to $44,999",407
101.1,2021,"$45,000 to $59,999",132
101.1,2021,"$60,000 to $74,999",147
101.1,2021,"$75,000 to $99,999",236
101.1,2021,"$100,000 to $124,999",157
101.1,2021,"$125,000 to $149,999",177
101.1,2021,"$150,000 to $199,999",344
101.1,2021,"$200,000 or more",14
101.1,2022,"Less than $15,000",198
101.1,2022,"$15,000 to $29,999",304
101.1,2022,"$30,000 to $44,999",442
101.1,2022,"$45,000 to $59,999",157
101.1,2022,"$60,000 to $74,999",147
101.1,2022,"$75,000 to $99,999",237
101.1,2022,"$100,000 to $124,999",150
101.1,2022,"$125,000 to $149,999",169
101.1,2022,"$150,000 to $199,999",354
101.1,2022,"$200,000 or more",15
101.11,2020,"Less than $15,000",103
101.11,2020,"$15,000 to $29,999",99
101.11,2020,"$30,000 to $44,999",103
101.11,2020,"$45,000 to $59,999",158
101.11,2020,"$60,000 to $74,999",51
101.11,2020,"$75,000 to $99,999",61
101.11,2020,"$100,000 to $124,999",44
101.11,2020,"$125,000 to $149,999",72
101.11,2020,"$150,000 to $199,999",81
101.11,2020,"$200,000 or more",6
101.11,2021,"Less than $15,000",97
101.11,2021,"$15,000 to $29,999",85
101.11,2021,"$30,000 to $44,999",87
101.11,2021,"$45,000 to $59,999",201
101.11,2021,"$60,000 to $74,999",54
101.11,2021,"$75,000 to $99,999",47
101.11,2021,"$100,000 to $124,999",14
101.11,2021,"$125,000 to $149,999",105
101.11,2021,"$150,000 to $199,999",30
101.11,2021,"$200,000 or more",46
101.11,2022,"Less than $15,000",72
101.11,2022,"$15,000 to $29,999",88
101.11,2022,"$30,000 to $44,999",96
101.11,2022,"$45,000 to $59,999",225
101.11,2022,"$60,000 to $74,999",54
101.11,2022,"$75,000 to $99,999",47
101.11,2022,"$100,000 to $124,999",11
101.11,2022,"$125,000 to $149,999",99
101.11,2022,"$150,000 to $199,999",29
